DataSetSize,AverageGas-EVM,AveragePrice-Ethereum,AveragePrice-Polygon,AveragePrice-Binance,AveragePrice-Avalanche
0,0,0,0,0,0
250,132873,3.02,0,0.13,0.08
500,"235,945 ",5.36,0,0.23,0.14
750,339032,7.71,0.01,0.32,0.20
1000,442115,10.05,0.01,0.42,0.26
1250,"548190 ",12.46,0.01,0.52,0.32
1500,"651323 ",14.81,0.01,0.62,0.39
1750,754470,17.15,0.01,0.72,0.45
2000,857613,19.49,0.01,0.82,0.51
2250,963752,21.91,0.02,0.92,0.57
2500,1066945,24.25,0.02,1.02,0.63
2750,1170153,26.60,0.02,1.12,0.69
3000,1273355,28.95,0.02,1.22,"0.75 "
3250,1379557,31.36,0.02,1.32,0.82
3500,1482811,33.71,0.02,1.41,0.88
3750,"1586079 ",36.05,0.02,1.51,0.94
4000,1689341,38.40,0.03,1.61,1.00
4250,1795607,40.82,0.03,1.71,1.06
4500,1898921,43.17,0.03,1.81,1.13
